movie_title,original_title,type,description,content_rating,genres
The Great Dictator,The Great Dictator,movie,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,G,"['Dark Comedy', 'Parody', 'Political Drama', 'Satire', 'Slapstick', 'Comedy', 'Drama', 'War']"
Inglourious Basterds,Inglourious Basterds,movie,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",R,"['Dark Comedy', 'Epic', 'Period Drama', 'War Epic', 'Drama', 'War']"
Aliens,Aliens,movie,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",R,"['Alien', 'Alien Invasion', 'Cyberpunk', 'Monster Horror', 'Space Sci-Fi', 'Survival', 'Action', 'Adventure', 'Horror', 'Sci-Fi']"
12th Fail,12th Fail,movie,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,,"['Hindi', 'Docudrama', 'Biography', 'Drama']"
High and Low,Tengoku to jigoku,movie,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Not Rated,"['Japanese', 'Police Procedural', 'Psychological Thriller', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Avengers: Endgame,Avengers: Endgame,movie,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",PG-13,"['Marvel', 'Action Epic', 'Adventure Epic', 'Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Superhero', 'Time Travel', 'Action', 'Adventure']"
Good Will Hunting,Good Will Hunting,movie,"A therapist counsels Will Hunting, a janitor with a genius IQ.",R,"['Coming-of-Age', 'Psychological Drama', 'Drama', 'Romance']"
The Dark Knight Rises,The Dark Knight Rises,movie,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",PG-13,"['DC', 'Action Epic', 'Epic', 'Psychological Drama', 'Superhero', 'Crime', 'Thriller']"
Coco,Coco,movie,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",PG,"['Adventure Epic', 'Computer Animation', 'Dark Comedy', 'Epic', 'Fantasy Epic', 'Psychological Drama', 'Supernatural Fantasy', 'Adventure', 'Animation', 'Drama']"
Amadeus,Amadeus,movie,"In 18th-century Vienna, court composer Antonio Salieri becomes awed and consumed by envy when the gifted, irreverent Wolfgang Amadeus Mozart bursts onto the imperial music scene.",PG,"['Costume Drama', 'Epic', 'Period Drama', 'Psychological Drama', 'Tragedy', 'Biography', 'Drama', 'Music']"
Toy Story,Toy Story,movie,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.",G,"['Toy Story', 'Buddy Comedy', 'Computer Animation', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Your Name.,Kimi no na wa.,movie,"Two teenagers, a city boy in Tokyo and a girl in rural Japan, mysteriously begin swapping bodies, forging a connection that sends them searching for one another.",,"['Japanese', 'Anime', 'Hand-Drawn Animation', 'Psychological Drama', 'Shōjo', 'Animation', 'Drama', 'Fantasy', 'Romance']"
Das Boot,Das Boot,movie,"During World War II, a German U-boat crew embarks on a perilous Atlantic patrol, confronting enemy attacks, isolation, and the crushing strain of life underwater.",,"['German', 'Epic', 'Period Drama', 'Psychological Drama', 'Survival', 'War Epic', 'Drama', 'War']"
Braveheart,Braveheart,movie,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,R,"['Action Epic', 'Costume Drama', 'Epic', 'Period Drama', 'War Epic', 'Drama', 'War']"
Princess Mononoke,Mononoke-hime,movie,"After a deadly curse forces him from home, young warrior Ashitaka journeys west and is drawn into a conflict between ancient forest spirits, an iron town, and a wolf-raised girl.",PG-13,"['Japanese', 'Action Epic', 'Adult Animation', 'Adventure Epic', 'Anime', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Hand-Drawn Animation', 'Quest']"
Oldboy,Oldeuboi,movie,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",R,"['Korean', 'One-Person Army Action', 'Psychological Drama', 'Psychological Thriller', 'Suspense Mystery', 'Action', 'Drama', 'Mystery', 'Thriller']"
3 Idiots,3 Idiots,movie,"Two friends search for a brilliant, free-spirited classmate whose unconventional approach to engineering school changed their lives and challenged a rigid education system.",PG-13,"['Hindi', 'Buddy Comedy', 'Coming-of-Age', 'Parody', 'Quirky Comedy', 'Satire', 'Comedy', 'Drama']"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,movie,"When a rogue U.S. general orders an unauthorized nuclear attack on the Soviet Union, leaders in the War Room race to prevent global catastrophe.",PG,"['Dark Comedy', 'Farce', 'Parody', 'Political Drama', 'Psychological Drama', 'Quirky Comedy', 'Satire', 'Tragedy', 'Comedy', 'War']"
American Beauty,American Beauty,movie,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,R,"['Dark Comedy', 'Psychological Drama', 'Drama']"
Capernaum,Capharnaüm,movie,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",R,"['Arabic', 'Coming-of-Age', 'Legal Drama', 'Psychological Drama', 'Drama']"
Singin' in the Rain,Singin' in the Rain,movie,"When Hollywood's silent era gives way to talkies, a dashing screen idol and a gifted newcomer navigate romance, rivalry, and the comic chaos of reinventing the movies.",G,"['Classic Musical', 'Feel-Good Romance', 'Jukebox Musical', 'Romantic Comedy', 'Satire', 'Slapstick', 'Comedy', 'Musical', 'Romance']"
Joker,Joker,movie,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",R,"['DC', 'Period Drama', 'Psychological Drama', 'Tragedy', 'Drama']"
Once Upon a Time in America,C'era una volta in America,movie,"A former New York gangster returns after decades in exile, confronting the friendships, dreams, and regrets that shaped his rise from street kid to Prohibition-era mobster.",R,"['Dark Comedy', 'Epic', 'Gangster', 'Period Drama', 'Crime', 'Drama']"
Toy Story 3,Toy Story 3,movie,"As Andy prepares to leave for college, Woody, Buzz and the gang face an uncertain future when a mix-up sends them to a daycare center full of new toys.",G,"['Toy Story', 'Computer Animation', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,movie,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",PG,"['Star Wars', 'Action Epic', 'Adventure Epic', 'Fantasy Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Sword & Sorcery', 'Action', 'Adventure', 'Fantasy']"
Come and See,Idi i smotri,movie,"After finding a rifle, a Belarusian teenager joins Soviet partisans in World War II and is swept into the harrowing realities of Nazi occupation.",Not Rated,"['Russian', 'Epic', 'Period Drama', 'Psychological Drama', 'Psychological Thriller', 'Survival', 'Tragedy', 'War Epic', 'Drama', 'Thriller']"
Requiem for a Dream,Requiem for a Dream,movie,"Four Coney Island dreamers chase love, fame, and escape, but addiction and obsession begin to distort their hopes for a better life.",NC-17,"['Epic', 'Psychological Drama', 'Tragedy', 'Drama']"
Ikiru,Ikiru,movie,"An aging Tokyo bureaucrat, shaken by a grave diagnosis, breaks from his hollow routine and searches for meaning, connection, and one worthwhile act.",Not Rated,"['Japanese', 'Psychological Drama', 'Tragedy', 'Drama']"
The Hunt,Jagten,movie,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",R,"['Danish', 'Psychological Drama', 'Tragedy', 'Drama']"
Incendies,Incendies,movie,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,R,"['French', 'Psychological Drama', 'Suspense Mystery', 'Drama', 'Mystery', 'War']"
Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,movie,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",R,"['Dark Romance', 'Epic', 'Psychological Drama', 'Romantic Epic', 'Sci-Fi Epic', 'Drama', 'Romance', 'Sci-Fi']"
